position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,3,10,13,21,26,34,48,60,73,91,101,117,133,144,153,165,184,206,242
1,1,4,7,10,12,21,28,38,48,58,67,80,88,96,111,126,142,155,168,188
2,1,5,8,11,22,26,32,40,45,54,59,66,73,78,88,102,128,145,161,181
3,1,2,4,6,16,20,26,34,45,54,67,92,103,120,139,160,189,230,259,294
4,1,2,4,11,19,27,41,55,70,88,106,121,137,153,174,197,222,250,272,302
5,1,1,1,2,2,6,11,16,22,38,43,51,64,81,102,136,152,166,201,230
6,1,2,2,3,4,7,10,15,21,32,43,53,68,88,107,125,141,154,174,190
7,1,1,3,7,13,15,17,18,23,36,45,53,61,67,79,88,95,111,123,137
8,1,1,1,1,2,2,2,5,9,12,16,16,30,41,50,58,68,86,100,124
9,1,1,1,1,4,5,9,12,19,30,40,46,55,61,66,72,76,81,89,98
10,1,1,1,4,7,10,14,16,19,23,29,34,36,42,45,50,57,64,75,88
11,2,5,14,20,24,29,31,38,45,58,63,68,73,82,90,95,101,113,125,137
12,1,3,6,10,14,14,16,20,28,41,53,63,68,72,89,92,105,113,118,128
13,2,2,3,5,7,11,13,13,14,19,24,30,34,42,48,58,67,74,81,90
14,1,1,1,1,2,2,3,5,7,9,13,15,19,22,32,38,47,73,92,111
15,1,1,1,2,6,11,13,18,22,28,33,36,46,53,61,69,73,82,90,99
16,2,2,3,5,7,7,10,11,14,15,17,21,23,25,27,32,39,40,49,66
17,1,1,1,1,3,5,9,13,17,20,25,28,32,34,39,41,43,46,51,67
18,1,2,2,3,3,3,5,7,8,10,12,16,21,26,29,33,41,54,62,65
19,1,1,3,4,4,5,10,11,13,14,15,17,17,18,24,24,30,36,36,41
20,1,1,1,2,2,3,4,5,6,8,8,9,11,14,16,20,26,34,42,46
21,1,1,1,2,5,6,8,9,10,13,14,17,20,22,22,24,28,28,31,36
22,1,1,1,1,1,1,2,2,2,3,7,9,9,9,12,14,15,18,20,23
23,1,2,2,2,3,4,5,5,8,9,9,10,12,14,15,15,16,20,24,27
24,1,1,1,1,2,4,6,9,10,12,13,13,16,17,18,21,26,29,34,36
25,1,2,3,3,3,3,3,4,4,4,7,10,12,14,15,15,19,23,25,29
26,2,2,2,3,4,6,6,7,7,7,8,9,9,10,12,12,13,14,19,26
27,1,1,1,1,2,2,2,4,7,7,9,9,11,12,14,15,18,19,23,23
28,1,1,1,2,3,3,4,4,5,6,6,7,9,9,11,13,15,18,20,24
29,1,2,2,3,3,3,3,3,4,5,5,6,8,8,12,13,14,15,20,20
