position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,186.0,920.0,2188.0,3888.0,6293.0,8803.0,12564.0,16905.0,22159.0,28430.0,34869.0,41716.0,49485.0,57311.0,65573.0,74340.0,84327.0,94525.0,105987.0,119986.0
1,496.0,1938.0,4367.0,7028.0,10604.0,14313.0,19628.0,25373.0,31188.0,37773.0,44448.0,51909.0,60824.0,69934.0,79507.0,89227.0,99723.0,110735.0,122810.0,137431.0
2,795.0,2921.0,6576.0,10928.0,16727.0,22194.0,29493.0,37326.0,46778.0,57317.0,68120.0,79475.0,92698.0,106007.0,120448.0,135309.0,151384.0,167875.0,185397.0,205066.0
3,489.0,2056.0,4940.0,8601.0,13109.0,17392.0,23426.0,29849.0,37003.0,45459.0,54632.0,64798.0,75976.0,87240.0,99328.0,111708.0,125133.0,140180.0,156320.0,173891.0
4,113.0,843.0,2459.0,4724.0,7747.0,11081.0,16598.0,22685.0,29546.0,37505.0,45270.0,53716.0,64285.0,74617.0,86081.0,98712.0,112861.0,128808.0,147135.0,168486.0
5,378.0,1508.0,3440.0,5584.0,8103.0,10594.0,14516.0,19150.0,24770.0,31852.0,39476.0,48500.0,61314.0,74930.0,90530.0,108175.0,129110.0,152063.0,178950.0,211393.0
6,1170.0,4726.0,11428.0,20088.0,32469.0,45777.0,65314.0,86931.0,112776.0,143858.0,176376.0,211057.0,252118.0,292552.0,335137.0,377629.0,420993.0,463840.0,508691.0,557441.0
7,1202.0,4354.0,10240.0,18364.0,30185.0,42555.0,61639.0,84126.0,110945.0,142214.0,173894.0,207011.0,245382.0,283214.0,323276.0,362705.0,403175.0,443216.0,485450.0,531280.0
8,633.0,2305.0,4998.0,8659.0,14222.0,20618.0,30504.0,41189.0,53509.0,68634.0,85163.0,102600.0,123196.0,145249.0,169948.0,195545.0,223909.0,255261.0,290763.0,330526.0
9,646.0,2534.0,5919.0,10330.0,16271.0,21923.0,29223.0,37713.0,48048.0,61241.0,74619.0,88773.0,106157.0,123992.0,143761.0,164737.0,189290.0,216260.0,245069.0,276076.0
10,150.0,657.0,1469.0,2627.0,4571.0,6705.0,9888.0,13281.0,17767.0,24298.0,32205.0,41023.0,51558.0,62087.0,73570.0,85229.0,98283.0,112877.0,129398.0,149783.0
11,40.0,253.0,610.0,1171.0,1881.0,2542.0,3617.0,5205.0,7757.0,11309.0,15461.0,20577.0,26907.0,33291.0,40087.0,47448.0,55769.0,65049.0,75375.0,87197.0
12,109.0,258.0,506.0,908.0,1535.0,2212.0,3687.0,5187.0,7082.0,10154.0,13626.0,17423.0,22794.0,28692.0,34937.0,41412.0,48938.0,57342.0,66967.0,78295.0
13,158.0,507.0,1054.0,1889.0,2882.0,3839.0,5726.0,7712.0,10322.0,13512.0,16403.0,19401.0,23560.0,27803.0,32382.0,37368.0,43473.0,50768.0,58998.0,68253.0
14,7.0,131.0,465.0,792.0,1296.0,2060.0,3642.0,5462.0,7202.0,9353.0,11594.0,13975.0,16641.0,19354.0,22513.0,26385.0,31194.0,36501.0,41818.0,47802.0
15,76.0,377.0,887.0,1530.0,2495.0,3143.0,3938.0,4956.0,6365.0,8640.0,11023.0,13591.0,17176.0,21181.0,25660.0,29808.0,34273.0,38941.0,44200.0,50552.0
16,105.0,461.0,1258.0,2089.0,2974.0,3817.0,5077.0,6655.0,9108.0,12684.0,16861.0,21455.0,26099.0,30147.0,34468.0,38676.0,43344.0,48275.0,54074.0,61035.0
17,147.0,634.0,1424.0,2064.0,2969.0,3994.0,5457.0,7344.0,10230.0,14136.0,17948.0,21381.0,25616.0,30281.0,35053.0,39840.0,45453.0,51690.0,58844.0,67746.0
18,16.0,358.0,1317.0,2294.0,3142.0,3874.0,4917.0,6333.0,9105.0,13052.0,17186.0,20476.0,24348.0,28246.0,32231.0,36140.0,40749.0,45867.0,51314.0,58125.0
19,9.0,67.0,247.0,711.0,1455.0,1909.0,3296.0,5775.0,10188.0,15761.0,20514.0,24675.0,29177.0,33865.0,38733.0,43419.0,48213.0,53284.0,59040.0,65943.0
20,24.0,110.0,348.0,925.0,2289.0,3564.0,6475.0,10209.0,14334.0,18700.0,22601.0,26486.0,31039.0,35796.0,41485.0,47206.0,53429.0,59602.0,66102.0,73256.0
21,270.0,845.0,1550.0,2481.0,3974.0,5698.0,8115.0,10756.0,13872.0,17473.0,20934.0,24160.0,27638.0,31133.0,35199.0,39362.0,44301.0,49644.0,55878.0,63035.0
22,53.0,378.0,1038.0,1814.0,2791.0,3620.0,4780.0,5972.0,7492.0,9285.0,11246.0,13484.0,16354.0,19467.0,22877.0,26628.0,30947.0,35621.0,40942.0,47436.0
23,10.0,40.0,127.0,296.0,615.0,850.0,1503.0,2510.0,3756.0,5201.0,6719.0,8326.0,10509.0,13186.0,15998.0,18664.0,22751.0,27086.0,32164.0,38066.0
24,3.0,7.0,28.0,86.0,184.0,727.0,2680.0,4531.0,6080.0,7710.0,9525.0,12436.0,17174.0,22931.0,28859.0,34097.0,39304.0,44361.0,50152.0,57465.0
25,168.0,723.0,1826.0,4303.0,8954.0,13670.0,19673.0,24383.0,28850.0,32925.0,36237.0,39520.0,43142.0,46788.0,50892.0,55101.0,59927.0,65109.0,70731.0,77044.0
26,281.0,953.0,2057.0,3425.0,5429.0,7791.0,11494.0,15515.0,20276.0,25722.0,31530.0,37474.0,44641.0,51715.0,59293.0,67251.0,76510.0,86859.0,98078.0,110304.0
27,26.0,130.0,445.0,1024.0,1929.0,2580.0,3684.0,5039.0,6691.0,8792.0,10834.0,12992.0,15673.0,18301.0,21488.0,24861.0,28814.0,33293.0,38125.0,43499.0
28,168.0,494.0,1082.0,1822.0,2825.0,3841.0,5352.0,7015.0,8617.0,10231.0,12096.0,14197.0,16795.0,19341.0,22066.0,25186.0,28581.0,32171.0,36543.0,41901.0
29,120.0,418.0,899.0,1710.0,2537.0,3216.0,4624.0,6690.0,9195.0,11740.0,14065.0,16814.0,20300.0,23571.0,27239.0,30923.0,35335.0,40188.0,45816.0,52798.0
30,26.0,136.0,317.0,583.0,1069.0,1602.0,2584.0,4230.0,6428.0,8987.0,11509.0,14375.0,17979.0,21294.0,24895.0,28737.0,33495.0,38577.0,44078.0,50300.0
31,10.0,40.0,125.0,253.0,425.0,890.0,2139.0,3234.0,4520.0,6461.0,9381.0,13059.0,17313.0,21677.0,26506.0,31151.0,35761.0,40427.0,45682.0,51624.0
32,26.0,185.0,540.0,935.0,1561.0,2492.0,4760.0,8084.0,11569.0,14626.0,18005.0,21273.0,24825.0,28503.0,32559.0,36905.0,41993.0,48126.0,54720.0,61970.0
33,8.0,132.0,676.0,1683.0,3239.0,4949.0,7436.0,9811.0,12494.0,15616.0,18959.0,22760.0,27127.0,31328.0,36160.0,41165.0,46778.0,52594.0,59196.0,66774.0
34,23.0,208.0,571.0,1315.0,2663.0,4564.0,7705.0,11086.0,15372.0,20394.0,25164.0,30392.0,36848.0,43133.0,50198.0,57689.0,66205.0,74748.0,83774.0,93412.0
35,724.0,2537.0,5241.0,8281.0,12268.0,16466.0,22191.0,28301.0,35022.0,42555.0,50486.0,58565.0,68233.0,78042.0,89049.0,100452.0,112766.0,125332.0,139013.0,153930.0
36,227.0,906.0,2355.0,4471.0,7541.0,10545.0,14541.0,18416.0,22353.0,26656.0,31155.0,36243.0,42024.0,47700.0,53763.0,59996.0,66951.0,74596.0,83125.0,92877.0
37,298.0,1119.0,2416.0,4122.0,6104.0,7583.0,9504.0,11827.0,15405.0,20178.0,25508.0,31247.0,38743.0,46009.0,53403.0,60569.0,68045.0,75619.0,84067.0,93473.0
38,729.0,2489.0,4674.0,6623.0,8765.0,10931.0,13432.0,15989.0,18788.0,21775.0,24972.0,28873.0,34862.0,42104.0,50672.0,59885.0,69294.0,79052.0,89616.0,102798.0
39,552.0,1995.0,4115.0,6028.0,8192.0,10116.0,12549.0,15192.0,18178.0,22336.0,27527.0,34400.0,42555.0,50000.0,58472.0,69484.0,82769.0,95603.0,108896.0,123536.0
40,5.0,47.0,104.0,197.0,446.0,1113.0,2663.0,4771.0,8218.0,12327.0,16110.0,19484.0,23384.0,27490.0,32199.0,38001.0,45791.0,52881.0,59963.0,67132.0
41,136.0,324.0,567.0,847.0,1313.0,1766.0,2844.0,4306.0,6389.0,9056.0,11514.0,14325.0,17294.0,20254.0,23612.0,27275.0,31241.0,35466.0,39890.0,45011.0
42,36.0,154.0,337.0,560.0,1240.0,1956.0,3040.0,3996.0,5137.0,6643.0,8258.0,9893.0,12005.0,14164.0,16409.0,18962.0,22127.0,25604.0,29434.0,34508.0
43,14.0,140.0,424.0,879.0,1415.0,1868.0,2714.0,4061.0,6162.0,8395.0,10536.0,12933.0,15630.0,18742.0,22669.0,25898.0,29262.0,32495.0,36567.0,42222.0
44,59.0,247.0,587.0,965.0,1442.0,2010.0,3152.0,4243.0,5383.0,6606.0,8200.0,10656.0,13495.0,16464.0,19934.0,23385.0,26795.0,30171.0,34091.0,38548.0
45,3.0,110.0,367.0,739.0,1185.0,1610.0,2487.0,3566.0,4635.0,6124.0,7637.0,9440.0,11773.0,14559.0,17763.0,20721.0,24279.0,28378.0,32985.0,37757.0
