file,position,overlap_area
Reslice of 0,0,134806.0
Reslice of 0,1,379903.0
Reslice of 0,2,332463.0
Reslice of 0,3,197850.0
Reslice of 0,4,95959.0
Reslice of 0,5,84790.0
Reslice of 0,6,78078.0
Reslice of 0,7,101646.0
Reslice of 0,8,89691.0
Reslice of 0,9,84238.0
Reslice of 0,10,72996.0
Reslice of 0,11,70915.0
Reslice of 0,12,42795.0
Reslice of 0,13,72776.0
Reslice of 0,14,155509.0
Reslice of 0,15,196216.0
Reslice of 0,16,253097.0
Reslice of 0,17,323490.0
Reslice of 0,18,457035.0
Reslice of 0,19,407502.0
Reslice of 0,20,340551.0
Reslice of 0,21,316359.0
Reslice of 0,22,325678.0
Reslice of 0,23,259221.0
Reslice of 0,24,300967.0
Reslice of 0,25,770465.0
Reslice of 0,26,939869.0
Reslice of 0,27,838007.0
Reslice of 0,28,351223.0
Reslice of 0,29,220243.0
Reslice of 0,30,97820.0
Reslice of 0,31,73341.0
Reslice of 0,32,51026.0
Reslice of 0,33,38471.0
Reslice of 0,34,115157.0
Reslice of 0,35,64819.0
Reslice of 0,36,114568.0
Reslice of 0,37,40203.0
Reslice of 0,38,67364.0
Reslice of 0,39,97836.0
Reslice of 0,40,94162.0
Reslice of 0,41,56188.0
Reslice of 0,42,33824.0
Reslice of 0,43,49545.0
Reslice of 0,44,47391.0
Reslice of 0,45,51954.0
Reslice of 0,46,35903.0
Reslice of 0,47,47617.0
Reslice of 0,48,33260.0
Reslice of 0,49,135118.0
Reslice of 0,50,112517.0
Reslice of 0,51,44229.0
Reslice of 0,52,36451.0
Reslice of 0,53,80494.0
Reslice of 0,54,90808.0
Reslice of 0,55,140449.0
Reslice of 0,56,134258.0
Reslice of 0,57,173434.0
Reslice of 0,58,144126.0
Reslice of 0,59,82267.0
Reslice of 0,60,53701.0
Reslice of 0,61,91110.0
Reslice of 0,62,44341.0
Reslice of 0,63,117411.0
Reslice of 0,64,267023.0
Reslice of 0,65,217146.0
Reslice of 0,66,115508.0
Reslice of 0,67,124713.0
Reslice of 0,68,115035.0
Reslice of 0,69,80594.0
Reslice of 0,70,135107.0
Reslice of 0,71,337639.0
Reslice of 0,72,492717.0
Reslice of 0,73,610136.0
Reslice of 0,74,458729.0
Reslice of 0,75,303635.0
Reslice of 0,76,171629.0
Reslice of 0,77,93679.0
Reslice of 0,78,43723.0
Reslice of 0,79,44478.0
Reslice of 0,80,87068.0
Reslice of 0,81,121010.0
Reslice of 0,82,190309.0
Reslice of 0,83,224650.0
Reslice of 0,84,135518.0
Reslice of 0,85,42575.0
Reslice of 0,86,52402.0
Reslice of 0,87,17543.0
Reslice of 0,88,30856.0
Reslice of 0,89,42238.0
Reslice of 0,90,67497.0
Reslice of 0,91,39511.0
Reslice of 0,92,53215.0
Reslice of 0,93,47795.0
Reslice of 0,94,27658.0
Reslice of 0,95,60066.0
Reslice of 0,96,97538.0
Reslice of 0,97,264103.0
Reslice of 0,98,302141.0
Reslice of 0,99,262883.0
Reslice of 1,0,57248.0
Reslice of 1,1,119388.0
Reslice of 1,2,153304.0
Reslice of 1,3,122585.0
Reslice of 1,4,82111.0
Reslice of 1,5,25086.0
Reslice of 1,6,175377.0
Reslice of 1,7,160032.0
Reslice of 1,8,73134.0
Reslice of 1,9,105137.0
Reslice of 1,10,78742.0
Reslice of 1,11,31332.0
Reslice of 1,12,89606.0
Reslice of 1,13,53790.0
Reslice of 1,14,80399.0
Reslice of 1,15,73841.0
Reslice of 1,16,90291.0
Reslice of 1,17,121131.0
Reslice of 1,18,182916.0
Reslice of 1,19,596353.0
Reslice of 1,20,309403.0
Reslice of 1,21,71467.0
Reslice of 1,22,41352.0
Reslice of 1,23,115836.0
Reslice of 1,24,59721.0
Reslice of 1,25,73401.0
Reslice of 1,26,144275.0
Reslice of 1,27,86563.0
Reslice of 1,28,53382.0
Reslice of 1,29,107364.0
Reslice of 1,30,185520.0
Reslice of 1,31,19746.0
Reslice of 1,32,69672.0
Reslice of 1,33,289794.0
Reslice of 1,34,547521.0
Reslice of 1,35,642694.0
Reslice of 1,36,455536.0
Reslice of 1,37,302072.0
Reslice of 1,38,135774.0
Reslice of 1,39,70183.0
Reslice of 1,40,39677.0
Reslice of 1,41,32759.0
Reslice of 1,42,43795.0
Reslice of 1,43,97521.0
Reslice of 1,44,126435.0
Reslice of 1,45,114391.0
Reslice of 1,46,810613.0
Reslice of 1,47,1150872.0
Reslice of 1,48,1156691.0
Reslice of 1,49,691765.0
Reslice of 1,50,591385.0
Reslice of 1,51,497435.0
Reslice of 1,52,338190.0
Reslice of 1,53,131626.0
Reslice of 1,54,90240.0
Reslice of 1,55,55532.0
Reslice of 1,56,186594.0
Reslice of 1,57,236642.0
Reslice of 1,58,211767.0
Reslice of 1,59,260571.0
Reslice of 1,60,249529.0
Reslice of 1,61,63938.0
Reslice of 1,62,34669.0
Reslice of 1,63,57030.0
Reslice of 1,64,25093.0
Reslice of 1,65,40405.0
Reslice of 1,66,49042.0
Reslice of 1,67,88944.0
Reslice of 1,68,53730.0
Reslice of 1,69,35405.0
Reslice of 1,70,60098.0
Reslice of 1,71,52844.0
Reslice of 1,72,38775.0
Reslice of 1,73,39855.0
Reslice of 1,74,210052.0
Reslice of 1,75,197122.0
Reslice of 1,76,189515.0
Reslice of 1,77,71818.0
Reslice of 1,78,62420.0
Reslice of 1,79,83983.0
Reslice of 1,80,140300.0
Reslice of 1,81,169144.0
Reslice of 1,82,146835.0
Reslice of 1,83,126883.0
Reslice of 1,84,132386.0
Reslice of 1,85,133843.0
Reslice of 1,86,80769.0
Reslice of 1,87,193709.0
Reslice of 1,88,77594.0
Reslice of 1,89,65159.0
Reslice of 1,90,72506.0
Reslice of 1,91,52728.0
