file,position,overlap_area
Reslice of 0,0,33.0
Reslice of 0,1,53.0
Reslice of 0,2,13458.0
Reslice of 0,3,7362.0
Reslice of 0,4,206.0
Reslice of 0,5,528.0
Reslice of 0,6,525.0
Reslice of 0,7,1653.0
Reslice of 0,8,1243.0
Reslice of 0,9,580.0
Reslice of 0,10,252.0
Reslice of 0,11,204.0
Reslice of 0,12,66.0
Reslice of 0,13,1849.0
Reslice of 0,14,830.0
Reslice of 0,15,258.0
Reslice of 0,16,2555.0
Reslice of 0,17,3818.0
Reslice of 0,18,6017.0
Reslice of 0,19,5422.0
Reslice of 0,20,3924.0
Reslice of 0,21,4485.0
Reslice of 0,22,3300.0
Reslice of 0,23,904.0
Reslice of 0,24,274.0
Reslice of 0,25,17114.0
Reslice of 0,26,23704.0
Reslice of 0,27,22341.0
Reslice of 0,28,4680.0
Reslice of 0,29,3092.0
Reslice of 0,30,1462.0
Reslice of 0,31,993.0
Reslice of 0,32,490.0
Reslice of 0,33,0.0
Reslice of 0,34,1998.0
Reslice of 0,35,637.0
Reslice of 0,36,1153.0
Reslice of 0,37,231.0
Reslice of 0,38,357.0
Reslice of 0,39,1115.0
Reslice of 0,40,1267.0
Reslice of 0,41,118.0
Reslice of 0,42,176.0
Reslice of 0,43,402.0
Reslice of 0,44,365.0
Reslice of 0,45,500.0
Reslice of 0,46,70.0
Reslice of 0,47,39.0
Reslice of 0,48,451.0
Reslice of 0,49,716.0
Reslice of 0,50,1556.0
Reslice of 0,51,274.0
Reslice of 0,52,132.0
Reslice of 0,53,973.0
Reslice of 0,54,114.0
Reslice of 0,55,259.0
Reslice of 0,56,2111.0
Reslice of 0,57,2562.0
Reslice of 0,58,291.0
Reslice of 0,59,138.0
Reslice of 0,60,762.0
Reslice of 0,61,563.0
Reslice of 0,62,54.0
Reslice of 0,63,334.0
Reslice of 0,64,357.0
Reslice of 0,65,2810.0
Reslice of 0,66,2380.0
Reslice of 0,67,1084.0
Reslice of 0,68,113.0
Reslice of 0,69,5.0
Reslice of 0,70,318.0
Reslice of 0,71,2718.0
Reslice of 0,72,6365.0
Reslice of 0,73,6967.0
Reslice of 0,74,4964.0
Reslice of 0,75,3445.0
Reslice of 0,76,14.0
Reslice of 0,77,279.0
Reslice of 0,78,608.0
Reslice of 0,79,62.0
Reslice of 0,80,631.0
Reslice of 0,81,251.0
Reslice of 0,82,3204.0
Reslice of 0,83,1935.0
Reslice of 0,84,29.0
Reslice of 0,85,189.0
Reslice of 0,86,17.0
Reslice of 0,87,385.0
Reslice of 0,88,98.0
Reslice of 0,89,132.0
Reslice of 0,90,123.0
Reslice of 0,91,404.0
Reslice of 0,92,472.0
Reslice of 0,93,740.0
Reslice of 0,94,1081.0
Reslice of 0,95,1139.0
Reslice of 0,96,127.0
Reslice of 0,97,2561.0
Reslice of 0,98,9391.0
Reslice of 0,99,4242.0
Reslice of 1,0,2.0
Reslice of 1,1,247.0
Reslice of 1,2,1512.0
Reslice of 1,3,28.0
Reslice of 1,4,119.0
Reslice of 1,5,13.0
Reslice of 1,6,2418.0
Reslice of 1,7,2337.0
Reslice of 1,8,122.0
Reslice of 1,9,838.0
Reslice of 1,10,218.0
Reslice of 1,11,148.0
Reslice of 1,12,196.0
Reslice of 1,13,72.0
Reslice of 1,14,80.0
Reslice of 1,15,168.0
Reslice of 1,16,1267.0
Reslice of 1,17,2389.0
Reslice of 1,18,1465.0
Reslice of 1,19,12923.0
Reslice of 1,20,609.0
Reslice of 1,21,327.0
Reslice of 1,22,66.0
Reslice of 1,23,52.0
Reslice of 1,24,250.0
Reslice of 1,25,917.0
Reslice of 1,26,2239.0
Reslice of 1,27,152.0
Reslice of 1,28,201.0
Reslice of 1,29,1665.0
Reslice of 1,30,1806.0
Reslice of 1,31,67.0
Reslice of 1,32,42.0
Reslice of 1,33,2650.0
Reslice of 1,34,6638.0
Reslice of 1,35,7389.0
Reslice of 1,36,3809.0
Reslice of 1,37,3670.0
Reslice of 1,38,272.0
Reslice of 1,39,1211.0
Reslice of 1,40,40.0
Reslice of 1,41,254.0
Reslice of 1,42,172.0
Reslice of 1,43,179.0
Reslice of 1,44,223.0
Reslice of 1,45,0.0
Reslice of 1,46,15293.0
Reslice of 1,47,24727.0
Reslice of 1,48,26568.0
Reslice of 1,49,9916.0
Reslice of 1,50,7034.0
Reslice of 1,51,5096.0
Reslice of 1,52,2992.0
Reslice of 1,53,224.0
Reslice of 1,54,15.0
Reslice of 1,55,37.0
Reslice of 1,56,3179.0
Reslice of 1,57,1186.0
Reslice of 1,58,2033.0
Reslice of 1,59,3911.0
Reslice of 1,60,1371.0
Reslice of 1,61,462.0
Reslice of 1,62,13.0
Reslice of 1,63,1329.0
Reslice of 1,64,251.0
Reslice of 1,65,102.0
Reslice of 1,66,309.0
Reslice of 1,67,347.0
Reslice of 1,68,682.0
Reslice of 1,69,637.0
Reslice of 1,70,669.0
Reslice of 1,71,236.0
Reslice of 1,72,497.0
Reslice of 1,73,113.0
Reslice of 1,74,7055.0
Reslice of 1,75,400.0
Reslice of 1,76,325.0
Reslice of 1,77,822.0
Reslice of 1,78,540.0
Reslice of 1,79,844.0
Reslice of 1,80,990.0
Reslice of 1,81,423.0
Reslice of 1,82,781.0
Reslice of 1,83,517.0
Reslice of 1,84,953.0
Reslice of 1,85,760.0
Reslice of 1,86,128.0
Reslice of 1,87,1144.0
Reslice of 1,88,739.0
Reslice of 1,89,379.0
Reslice of 1,90,1253.0
Reslice of 1,91,326.0
Reslice of 1,92,191.0
Reslice of 1,93,230.0
Reslice of 1,94,555.0
Reslice of 1,95,296.0
Reslice of 1,96,376.0
Reslice of 1,97,512.0
Reslice of 1,98,320.0
Reslice of 1,99,1313.0
Reslice of 4,0,544.0
Reslice of 4,1,302.0
Reslice of 4,2,152.0
Reslice of 4,3,91.0
Reslice of 4,4,379.0
Reslice of 4,5,152.0
Reslice of 4,6,459.0
Reslice of 4,7,416.0
Reslice of 4,8,2258.0
Reslice of 4,9,1826.0
Reslice of 4,10,282.0
Reslice of 4,11,40.0
Reslice of 4,12,129.0
Reslice of 4,13,243.0
Reslice of 4,14,999.0
Reslice of 4,15,688.0
Reslice of 4,16,300.0
Reslice of 4,17,715.0
Reslice of 4,18,55.0
Reslice of 4,19,191.0
Reslice of 4,20,242.0
Reslice of 4,21,301.0
Reslice of 4,22,426.0
Reslice of 4,23,2592.0
Reslice of 4,24,419.0
Reslice of 4,25,412.0
Reslice of 4,26,45.0
Reslice of 4,27,32.0
Reslice of 4,28,120.0
Reslice of 4,29,346.0
Reslice of 4,30,1323.0
Reslice of 4,31,88.0
Reslice of 4,32,176.0
Reslice of 4,33,209.0
Reslice of 4,34,859.0
Reslice of 4,35,2161.0
Reslice of 4,36,301.0
Reslice of 4,37,40.0
Reslice of 4,38,717.0
Reslice of 4,39,517.0
Reslice of 4,40,693.0
Reslice of 4,41,1346.0
Reslice of 4,42,1106.0
Reslice of 4,43,153.0
Reslice of 4,44,1021.0
Reslice of 4,45,614.0
Reslice of 4,46,403.0
