file,position,overlap_area
Reslice of 0,0,1252.0
Reslice of 0,1,5951.0
Reslice of 0,2,62820.0
Reslice of 0,3,40667.0
Reslice of 0,4,2933.0
Reslice of 0,5,4687.0
Reslice of 0,6,4016.0
Reslice of 0,7,8205.0
Reslice of 0,8,5868.0
Reslice of 0,9,4906.0
Reslice of 0,10,1806.0
Reslice of 0,11,3175.0
Reslice of 0,12,933.0
Reslice of 0,13,7099.0
Reslice of 0,14,2866.0
Reslice of 0,15,6630.0
Reslice of 0,16,15507.0
Reslice of 0,17,20746.0
Reslice of 0,18,30707.0
Reslice of 0,19,29542.0
Reslice of 0,20,23560.0
Reslice of 0,21,23070.0
Reslice of 0,22,18879.0
Reslice of 0,23,7878.0
Reslice of 0,24,3076.0
Reslice of 0,25,95147.0
Reslice of 0,26,131666.0
Reslice of 0,27,124711.0
Reslice of 0,28,40255.0
Reslice of 0,29,15929.0
Reslice of 0,30,5228.0
Reslice of 0,31,5433.0
Reslice of 0,32,2710.0
Reslice of 0,33,1738.0
Reslice of 0,34,11532.0
Reslice of 0,35,3397.0
Reslice of 0,36,5379.0
Reslice of 0,37,1916.0
Reslice of 0,38,2234.0
Reslice of 0,39,9719.0
Reslice of 0,40,8590.0
Reslice of 0,41,788.0
Reslice of 0,42,1799.0
Reslice of 0,43,3551.0
Reslice of 0,44,2044.0
Reslice of 0,45,4700.0
Reslice of 0,46,3156.0
Reslice of 0,47,1668.0
Reslice of 0,48,1970.0
Reslice of 0,49,14643.0
Reslice of 0,50,15231.0
Reslice of 0,51,2284.0
Reslice of 0,52,2470.0
Reslice of 0,53,6930.0
Reslice of 0,54,1991.0
Reslice of 0,55,3629.0
Reslice of 0,56,11338.0
Reslice of 0,57,14221.0
Reslice of 0,58,3136.0
Reslice of 0,59,3012.0
Reslice of 0,60,3694.0
Reslice of 0,61,3913.0
Reslice of 0,62,1275.0
Reslice of 0,63,3391.0
Reslice of 0,64,4059.0
Reslice of 0,65,14448.0
Reslice of 0,66,11884.0
Reslice of 0,67,9705.0
Reslice of 0,68,865.0
Reslice of 0,69,570.0
Reslice of 0,70,1644.0
Reslice of 0,71,14700.0
Reslice of 0,72,33461.0
Reslice of 0,73,37910.0
Reslice of 0,74,28099.0
Reslice of 0,75,17735.0
Reslice of 0,76,1782.0
Reslice of 0,77,2668.0
Reslice of 0,78,1379.0
Reslice of 0,79,696.0
Reslice of 0,80,2930.0
Reslice of 0,81,4462.0
Reslice of 0,82,16606.0
Reslice of 0,83,9942.0
Reslice of 0,84,1809.0
Reslice of 0,85,1028.0
Reslice of 0,86,399.0
Reslice of 0,87,1967.0
Reslice of 0,88,1154.0
Reslice of 0,89,1560.0
Reslice of 0,90,887.0
Reslice of 0,91,1845.0
Reslice of 0,92,3175.0
Reslice of 0,93,2156.0
Reslice of 0,94,3220.0
Reslice of 0,95,4991.0
Reslice of 0,96,2394.0
Reslice of 0,97,14404.0
Reslice of 0,98,42043.0
Reslice of 0,99,25830.0
Reslice of 1,0,514.0
Reslice of 1,1,2856.0
Reslice of 1,2,7353.0
Reslice of 1,3,2559.0
Reslice of 1,4,1302.0
Reslice of 1,5,608.0
Reslice of 1,6,13535.0
Reslice of 1,7,8707.0
Reslice of 1,8,2612.0
Reslice of 1,9,5858.0
Reslice of 1,10,824.0
Reslice of 1,11,795.0
Reslice of 1,12,1357.0
Reslice of 1,13,1163.0
Reslice of 1,14,2447.0
Reslice of 1,15,1804.0
Reslice of 1,16,6281.0
Reslice of 1,17,11888.0
Reslice of 1,18,16698.0
Reslice of 1,19,82962.0
Reslice of 1,20,3865.0
Reslice of 1,21,1837.0
Reslice of 1,22,694.0
Reslice of 1,23,1242.0
Reslice of 1,24,1303.0
Reslice of 1,25,2700.0
Reslice of 1,26,10849.0
Reslice of 1,27,2252.0
Reslice of 1,28,1707.0
Reslice of 1,29,10079.0
Reslice of 1,30,13605.0
Reslice of 1,31,239.0
Reslice of 1,32,447.0
Reslice of 1,33,15812.0
Reslice of 1,34,34401.0
Reslice of 1,35,38471.0
Reslice of 1,36,21353.0
Reslice of 1,37,19716.0
Reslice of 1,38,1993.0
Reslice of 1,39,5822.0
Reslice of 1,40,308.0
Reslice of 1,41,1310.0
Reslice of 1,42,980.0
Reslice of 1,43,3339.0
Reslice of 1,44,4445.0
Reslice of 1,45,111.0
Reslice of 1,46,98812.0
Reslice of 1,47,149119.0
Reslice of 1,48,156381.0
Reslice of 1,49,62083.0
Reslice of 1,50,37594.0
Reslice of 1,51,28138.0
Reslice of 1,52,17170.0
Reslice of 1,53,1832.0
Reslice of 1,54,353.0
Reslice of 1,55,7339.0
Reslice of 1,56,34052.0
Reslice of 1,57,16894.0
Reslice of 1,58,18400.0
Reslice of 1,59,21809.0
Reslice of 1,60,15616.0
Reslice of 1,61,4095.0
Reslice of 1,62,581.0
Reslice of 1,63,4529.0
Reslice of 1,64,1344.0
Reslice of 1,65,1181.0
Reslice of 1,66,1935.0
Reslice of 1,67,2728.0
Reslice of 1,68,2959.0
Reslice of 1,69,3176.0
Reslice of 1,70,5980.0
Reslice of 1,71,1822.0
Reslice of 1,72,2280.0
Reslice of 1,73,1348.0
Reslice of 1,74,52281.0
Reslice of 1,75,8829.0
Reslice of 1,76,2249.0
Reslice of 1,77,3125.0
Reslice of 1,78,2722.0
Reslice of 1,79,5322.0
Reslice of 1,80,7742.0
Reslice of 1,81,3214.0
Reslice of 1,82,9043.0
Reslice of 1,83,8423.0
Reslice of 1,84,7829.0
Reslice of 1,85,5106.0
Reslice of 1,86,1028.0
Reslice of 1,87,10176.0
Reslice of 1,88,5470.0
Reslice of 1,89,1438.0
Reslice of 1,90,6254.0
Reslice of 1,91,3711.0
Reslice of 1,92,2374.0
Reslice of 1,93,2033.0
Reslice of 1,94,3054.0
Reslice of 1,95,3592.0
Reslice of 1,96,4067.0
Reslice of 1,97,5035.0
Reslice of 1,98,5111.0
Reslice of 1,99,10531.0
Reslice of 4,0,3204.0
Reslice of 4,1,2588.0
Reslice of 4,2,1150.0
Reslice of 4,3,1417.0
Reslice of 4,4,3135.0
Reslice of 4,5,1828.0
Reslice of 4,6,4339.0
Reslice of 4,7,3380.0
Reslice of 4,8,8581.0
Reslice of 4,9,11615.0
Reslice of 4,10,2749.0
Reslice of 4,11,540.0
Reslice of 4,12,767.0
Reslice of 4,13,2484.0
Reslice of 4,14,2413.0
Reslice of 4,15,2298.0
Reslice of 4,16,3354.0
Reslice of 4,17,5494.0
Reslice of 4,18,2228.0
Reslice of 4,19,1853.0
Reslice of 4,20,1870.0
Reslice of 4,21,1827.0
Reslice of 4,22,3222.0
Reslice of 4,23,15271.0
Reslice of 4,24,1753.0
Reslice of 4,25,1897.0
Reslice of 4,26,728.0
Reslice of 4,27,889.0
Reslice of 4,28,993.0
Reslice of 4,29,1875.0
Reslice of 4,30,5944.0
Reslice of 4,31,1326.0
Reslice of 4,32,1038.0
Reslice of 4,33,532.0
Reslice of 4,34,2670.0
Reslice of 4,35,11997.0
Reslice of 4,36,1576.0
Reslice of 4,37,471.0
Reslice of 4,38,5321.0
Reslice of 4,39,5996.0
Reslice of 4,40,7673.0
Reslice of 4,41,10690.0
Reslice of 4,42,6777.0
Reslice of 4,43,2512.0
Reslice of 4,44,5726.0
Reslice of 4,45,4523.0
Reslice of 4,46,2525.0
Reslice of 4,47,3244.0
Reslice of 4,48,6847.0
Reslice of 4,49,4869.0
Reslice of 4,50,4155.0
Reslice of 4,51,7505.0
Reslice of 4,52,2680.0
Reslice of 4,53,1127.0
Reslice of 4,54,398.0
Reslice of 4,55,1436.0
Reslice of 4,56,1002.0
Reslice of 4,57,3258.0
Reslice of 4,58,1468.0
Reslice of 4,59,745.0
Reslice of 4,60,680.0
Reslice of 4,61,2608.0
Reslice of 4,62,1666.0
Reslice of 4,63,44.0
Reslice of 4,64,2868.0
Reslice of 4,65,1117.0
Reslice of 4,66,2612.0
Reslice of 4,67,1952.0
Reslice of 4,68,2450.0
Reslice of 4,69,3134.0
Reslice of 4,70,8880.0
Reslice of 4,71,2020.0
Reslice of 4,72,5002.0
Reslice of 4,73,1387.0
Reslice of 4,74,2600.0
Reslice of 4,75,5184.0
Reslice of 4,76,1493.0
Reslice of 4,77,3278.0
Reslice of 4,78,5858.0
Reslice of 4,79,8747.0
Reslice of 4,80,12194.0
Reslice of 4,81,6041.0
Reslice of 4,82,68060.0
Reslice of 4,83,106996.0
Reslice of 4,84,53212.0
Reslice of 4,85,13728.0
Reslice of 4,86,14198.0
Reslice of 4,87,5235.0
Reslice of 4,88,1721.0
Reslice of 4,89,1436.0
Reslice of 4,90,3090.0
Reslice of 4,91,1604.0
Reslice of 4,92,2565.0
Reslice of 4,93,3656.0
Reslice of 4,94,2783.0
Reslice of 4,95,1923.0
Reslice of 4,96,4752.0
Reslice of 4,97,2929.0
Reslice of 4,98,2220.0
Reslice of 4,99,5640.0
Reslice of 5,0,26708.0
Reslice of 5,1,23892.0
Reslice of 5,2,18805.0
Reslice of 5,3,6086.0
Reslice of 5,4,2707.0
Reslice of 5,5,6722.0
Reslice of 5,6,4673.0
Reslice of 5,7,10932.0
Reslice of 5,8,17725.0
Reslice of 5,9,35153.0
Reslice of 5,10,49796.0
Reslice of 5,11,53880.0
Reslice of 5,12,59985.0
Reslice of 5,13,64519.0
Reslice of 5,14,65144.0
Reslice of 5,15,73053.0
Reslice of 5,16,83155.0
Reslice of 5,17,83291.0
Reslice of 5,18,80588.0
Reslice of 5,19,75554.0
Reslice of 5,20,68482.0
Reslice of 5,21,61324.0
Reslice of 5,22,52159.0
Reslice of 5,23,37125.0
Reslice of 5,24,23333.0
Reslice of 5,25,14219.0
Reslice of 5,26,924.0
Reslice of 5,27,7207.0
Reslice of 5,28,2815.0
Reslice of 5,29,3366.0
Reslice of 5,30,5290.0
Reslice of 5,31,10676.0
Reslice of 5,32,15002.0
Reslice of 5,33,9809.0
Reslice of 5,34,12886.0
Reslice of 5,35,6657.0
Reslice of 5,36,3325.0
Reslice of 5,37,1356.0
Reslice of 5,38,9775.0
Reslice of 5,39,2723.0
Reslice of 5,40,1493.0
Reslice of 5,41,2182.0
Reslice of 5,42,2977.0
Reslice of 5,43,5108.0
Reslice of 5,44,6940.0
Reslice of 5,45,8379.0
Reslice of 5,46,5318.0
Reslice of 5,47,11123.0
Reslice of 5,48,20620.0
Reslice of 5,49,30076.0
Reslice of 5,50,27677.0
Reslice of 5,51,24327.0
Reslice of 5,52,17857.0
Reslice of 5,53,10177.0
Reslice of 5,54,2898.0
Reslice of 5,55,2207.0
Reslice of 5,56,1986.0
Reslice of 5,57,626.0
Reslice of 5,58,2560.0
Reslice of 5,59,1161.0
Reslice of 5,60,1690.0
Reslice of 5,61,10796.0
Reslice of 5,62,4564.0
Reslice of 5,63,1267.0
Reslice of 5,64,1713.0
Reslice of 5,65,3324.0
Reslice of 5,66,10811.0
Reslice of 5,67,32905.0
Reslice of 5,68,5066.0
Reslice of 5,69,11677.0
Reslice of 5,70,18903.0
Reslice of 5,71,25768.0
Reslice of 5,72,23229.0
Reslice of 5,73,13730.0
Reslice of 5,74,10638.0
Reslice of 5,75,4458.0
Reslice of 5,76,1277.0
Reslice of 5,77,602.0
Reslice of 5,78,2812.0
Reslice of 5,79,5715.0
Reslice of 5,80,10382.0
Reslice of 5,81,12730.0
Reslice of 5,82,5995.0
Reslice of 5,83,2554.0
Reslice of 5,84,952.0
Reslice of 5,85,910.0
Reslice of 5,86,1530.0
Reslice of 5,87,1397.0
Reslice of 5,88,1739.0
Reslice of 5,89,2369.0
Reslice of 5,90,1596.0
Reslice of 5,91,21054.0
Reslice of 5,92,43571.0
Reslice of 5,93,27978.0
Reslice of 5,94,7716.0
Reslice of 5,95,2868.0
Reslice of 5,96,1689.0
Reslice of 5,97,2541.0
Reslice of 5,98,5394.0
Reslice of 5,99,8340.0
Reslice of 6,0,13743.0
Reslice of 6,1,16081.0
Reslice of 6,2,1876.0
Reslice of 6,3,445.0
Reslice of 6,4,834.0
Reslice of 6,5,401.0
Reslice of 6,6,492.0
Reslice of 6,7,3643.0
Reslice of 6,8,275.0
Reslice of 6,9,927.0
Reslice of 6,10,707.0
Reslice of 6,11,2007.0
Reslice of 6,12,1945.0
Reslice of 6,13,5708.0
Reslice of 6,14,7083.0
Reslice of 6,15,35999.0
Reslice of 6,16,1147.0
Reslice of 6,17,343.0
Reslice of 6,18,311.0
Reslice of 6,19,9819.0
Reslice of 6,20,26346.0
Reslice of 6,21,33423.0
Reslice of 6,22,37905.0
Reslice of 6,23,48864.0
Reslice of 6,24,38882.0
Reslice of 6,25,16246.0
Reslice of 6,26,22657.0
Reslice of 6,27,24534.0
Reslice of 6,28,25786.0
Reslice of 6,29,18689.0
Reslice of 6,30,6436.0
Reslice of 6,31,1889.0
Reslice of 6,32,870.0
Reslice of 6,33,1960.0
Reslice of 6,34,1240.0
Reslice of 6,35,1661.0
Reslice of 6,36,479.0
Reslice of 6,37,1836.0
Reslice of 6,38,519.0
Reslice of 6,39,781.0
Reslice of 6,40,897.0
Reslice of 6,41,2425.0
Reslice of 6,42,1048.0
Reslice of 6,43,1312.0
Reslice of 6,44,80.0
Reslice of 6,45,75.0
Reslice of 6,46,2354.0
Reslice of 6,47,9659.0
Reslice of 6,48,17005.0
Reslice of 6,49,25579.0
Reslice of 6,50,4812.0
Reslice of 6,51,1031.0
Reslice of 6,52,1172.0
Reslice of 6,53,3516.0
Reslice of 6,54,623.0
Reslice of 6,55,2211.0
Reslice of 6,56,34981.0
Reslice of 6,57,16285.0
