position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,5,5,6,11,13
1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,8,10,11,12,12,12
2,2,3,3,3,3,4,5,5,5,5,5,5,7,7,10,10,12,13,15,16
3,1,3,3,3,3,5,7,8,9,11,13,15,16,16,17,17,17,17,19,20
4,1,1,1,1,1,2,2,3,4,4,5,5,5,5,7,9,9,10,11,12
5,1,1,1,1,3,4,4,4,4,5,5,5,10,10,10,11,12,15,15,18
6,1,1,1,2,2,2,3,5,5,7,9,11,11,12,12,12,14,15,16,20
7,2,2,2,2,3,3,3,4,5,7,7,7,7,8,8,10,11,15,15,16
8,0,2,3,4,5,5,5,5,5,5,6,6,7,9,10,12,13,14,16,17
9,1,2,3,3,3,3,3,4,4,4,4,4,5,7,7,8,11,13,14,18
10,1,2,2,3,4,5,6,6,6,7,9,10,10,10,10,12,12,13,16,20
11,1,1,3,3,6,7,7,8,10,11,11,11,11,14,15,16,17,19,19,21
12,1,1,1,1,1,2,3,3,4,4,4,4,4,5,6,7,8,10,10,11
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,5
14,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,6,7,7,8,9
15,2,3,4,5,5,5,5,5,5,6,6,6,7,7,7,7,8,10,10,12
16,1,1,1,1,2,2,2,2,2,2,2,2,4,4,5,6,6,6,6,6
17,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,6,6,7,7
18,1,1,1,1,1,1,1,1,2,2,2,2,4,5,5,5,5,6,8,9
19,1,1,3,4,5,5,6,7,7,7,7,7,7,7,7,9,11,12,14,19
20,1,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,5,5,5
21,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
22,1,1,1,1,1,1,2,2,2,3,3,4,7,7,7,8,9,9,9,9
23,1,2,3,3,4,4,4,5,5,5,6,7,7,7,7,8,10,10,10,11
24,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,5,7,7,7,8
25,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,5,5,5,6
26,2,2,2,3,4,5,5,7,7,7,7,8,10,10,11,12,13,14,15,16
27,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,7,10,13,15,15
28,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,7,8,9,9,11
29,1,3,3,4,4,4,4,4,5,5,6,8,9,9,11,12,13,14,15,17
30,1,1,1,1,2,3,3,3,3,3,4,5,7,8,8,9,10,10,10,12
31,1,1,2,2,2,2,3,3,4,6,6,6,6,6,7,7,7,8,8,10
32,1,1,1,1,1,1,1,1,1,1,1,3,7,9,12,14,16,17,17,18
33,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,10,11,12,13,16
34,1,1,3,3,3,3,7,7,7,8,8,8,9,9,10,11,11,11,11,11
35,1,1,1,2,2,3,4,7,9,12,13,13,13,13,13,13,13,14,16,18
36,1,1,1,3,5,6,7,7,7,10,12,14,15,15,16,16,17,19,20,25
37,1,1,1,1,1,2,2,2,6,6,8,8,8,8,11,11,14,15,15,19
38,1,2,3,3,4,4,4,4,4,5,7,8,9,10,12,12,13,15,18,21
39,1,2,2,2,2,2,2,3,4,5,7,7,7,8,9,11,11,11,12,13
40,2,2,2,4,6,6,6,7,7,7,7,7,8,8,8,10,11,11,12,17
41,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,8
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,8,10,10,10
43,1,2,2,2,2,4,5,8,8,8,8,8,10,11,12,13,15,15,17,18
