position,4um,8um,12um,16um,20um,24um,28um,32um,36um,40um,44um,48um,52um,56um,60um,64um,68um,72um,76um,80um
0,7.0,28.0,109.0,437.0,2233.0,5342.0,11245.0,19288.0,28381.0,37884.0,45264.0,52302.0,60304.0,68767.0,78624.0,89553.0,102126.0,115637.0,130799.0,148524.0
1,9.0,50.0,110.0,213.0,383.0,491.0,1023.0,2767.0,6021.0,10930.0,16904.0,24227.0,34331.0,45444.0,58002.0,71164.0,84893.0,98262.0,111640.0,126060.0
2,80.0,292.0,648.0,1244.0,2542.0,4441.0,8067.0,12723.0,18757.0,26188.0,34014.0,42019.0,51547.0,60896.0,71249.0,82067.0,94486.0,108085.0,123386.0,140130.0
3,224.0,787.0,1766.0,3204.0,5859.0,9093.0,14013.0,19241.0,25825.0,33933.0,42259.0,50545.0,60430.0,70913.0,82607.0,95301.0,108758.0,122592.0,137387.0,154860.0
4,683.0,2607.0,6059.0,10524.0,16876.0,23633.0,32967.0,42790.0,54469.0,68310.0,81986.0,95125.0,109924.0,124722.0,141088.0,158367.0,176425.0,194374.0,213986.0,235985.0
5,633.0,2568.0,6295.0,11522.0,19504.0,28118.0,39980.0,51721.0,64331.0,78204.0,92823.0,108703.0,127361.0,145242.0,164381.0,184849.0,207627.0,232204.0,259346.0,290041.0
6,27.0,93.0,345.0,758.0,1244.0,1795.0,2994.0,4267.0,5497.0,6940.0,8459.0,10214.0,12402.0,14981.0,17973.0,21351.0,26223.0,32815.0,42116.0,54739.0
7,4.0,22.0,186.0,371.0,825.0,1685.0,2772.0,4141.0,6273.0,8835.0,11763.0,15250.0,19590.0,24052.0,29573.0,35472.0,41653.0,48108.0,55095.0,63070.0
8,12.0,87.0,304.0,552.0,930.0,1312.0,1910.0,2647.0,3534.0,4556.0,5765.0,7188.0,9129.0,11589.0,14287.0,16965.0,20023.0,23506.0,27352.0,31946.0
9,60.0,290.0,702.0,1343.0,2254.0,3103.0,4195.0,5283.0,6513.0,7958.0,9534.0,11210.0,13346.0,15720.0,18501.0,21512.0,25389.0,31318.0,40101.0,51731.0
10,5.0,10.0,16.0,24.0,32.0,95.0,409.0,1073.0,1858.0,2852.0,3588.0,4404.0,5255.0,6152.0,8565.0,13834.0,21579.0,31147.0,42278.0,56462.0
11,14.0,61.0,173.0,401.0,595.0,731.0,909.0,1150.0,1540.0,2210.0,3494.0,6005.0,10527.0,16717.0,24883.0,34749.0,46937.0,61387.0,79340.0,100926.0
12,350.0,1462.0,3353.0,5707.0,9299.0,12848.0,17527.0,21994.0,26817.0,33063.0,40506.0,49305.0,60604.0,72764.0,87232.0,103282.0,121320.0,140505.0,162439.0,189083.0
13,17.0,150.0,531.0,1322.0,2343.0,3204.0,4812.0,7428.0,11418.0,17499.0,25682.0,35727.0,48662.0,62602.0,79155.0,97805.0,119056.0,142151.0,168283.0,198849.0
14,15.0,136.0,474.0,943.0,2216.0,4954.0,10997.0,17775.0,25660.0,35276.0,46048.0,58049.0,73067.0,89032.0,108039.0,129330.0,153284.0,178916.0,207420.0,240245.0
15,10.0,95.0,1158.0,3718.0,8230.0,13250.0,20819.0,29235.0,39045.0,50978.0,64500.0,79588.0,97874.0,116815.0,138957.0,163028.0,189057.0,216254.0,246281.0,279832.0
16,443.0,1780.0,4309.0,7600.0,12578.0,18070.0,26132.0,34969.0,45485.0,58587.0,72855.0,88849.0,108768.0,131181.0,158633.0,189212.0,224281.0,264380.0,309305.0,358091.0
17,608.0,2393.0,6035.0,11665.0,19896.0,28395.0,41550.0,56541.0,75037.0,97700.0,122392.0,149092.0,180842.0,212095.0,246068.0,281272.0,318084.0,355574.0,395813.0,440439.0
18,1888.0,7435.0,17547.0,30279.0,47848.0,65461.0,89476.0,114115.0,141065.0,171867.0,203361.0,236694.0,275694.0,314192.0,356120.0,399640.0,445275.0,491859.0,541134.0,595044.0
19,1819.0,7034.0,16247.0,28199.0,44697.0,61363.0,84329.0,109093.0,138219.0,172476.0,208618.0,247408.0,293729.0,340082.0,389385.0,438722.0,490438.0,542573.0,596897.0,654908.0
20,1589.0,6119.0,14448.0,25586.0,41300.0,57139.0,78144.0,99225.0,122306.0,148802.0,176627.0,206456.0,242286.0,278917.0,319180.0,361582.0,406836.0,452753.0,501174.0,553724.0
21,1658.0,6587.0,15260.0,26320.0,41776.0,57650.0,79299.0,101728.0,125832.0,152681.0,179512.0,207212.0,239092.0,270447.0,305083.0,341770.0,381181.0,421438.0,463902.0,510172.0
22,1691.0,6449.0,15061.0,26387.0,42658.0,59491.0,82652.0,106909.0,134247.0,164531.0,193781.0,223345.0,256996.0,290084.0,325581.0,361833.0,399659.0,437774.0,476867.0,518524.0
23,1665.0,6567.0,15543.0,27414.0,44149.0,61074.0,84268.0,108352.0,135168.0,165683.0,196049.0,226651.0,262062.0,296645.0,333486.0,370308.0,408403.0,446305.0,484290.0,524673.0
24,1644.0,6145.0,13975.0,24003.0,37928.0,51976.0,71048.0,91150.0,113858.0,139387.0,164541.0,189374.0,216787.0,242933.0,270438.0,298726.0,329426.0,360847.0,393619.0,428558.0
25,71.0,295.0,741.0,1237.0,1954.0,2852.0,3785.0,4626.0,5510.0,6439.0,7309.0,8205.0,9138.0,10128.0,11570.0,13023.0,15102.0,17497.0,20087.0,22724.0
26,67.0,307.0,911.0,1875.0,2962.0,3867.0,4783.0,5314.0,5730.0,6275.0,6931.0,7625.0,8345.0,8991.0,9990.0,10802.0,11468.0,12632.0,15945.0,23427.0
27,70.0,375.0,745.0,1206.0,2018.0,2885.0,3965.0,4986.0,6144.0,7525.0,8824.0,9922.0,10922.0,12201.0,15433.0,21860.0,30868.0,42147.0,55935.0,72567.0
