file,position,overlap_number
Reslice of 0,0,141
Reslice of 0,1,115
Reslice of 0,2,97
Reslice of 0,3,125
Reslice of 0,4,180
Reslice of 0,5,99
Reslice of 0,6,91
Reslice of 0,7,78
Reslice of 0,8,32
Reslice of 0,9,49
Reslice of 0,10,47
Reslice of 0,11,71
Reslice of 0,12,65
Reslice of 0,13,36
Reslice of 0,14,20
Reslice of 0,15,14
Reslice of 0,16,22
Reslice of 0,17,20
Reslice of 0,18,20
Reslice of 0,19,18
Reslice of 0,20,11
Reslice of 0,21,21
Reslice of 0,22,9
Reslice of 0,23,12
Reslice of 0,24,16
Reslice of 0,25,13
Reslice of 0,26,15
Reslice of 0,27,17
Reslice of 0,28,17
Reslice of 0,29,10
Reslice of 0,30,8
Reslice of 0,31,6
Reslice of 0,32,9
Reslice of 0,33,18
Reslice of 0,34,14
Reslice of 0,35,9
Reslice of 0,36,14
Reslice of 0,37,17
Reslice of 0,38,20
Reslice of 0,39,10
Reslice of 0,40,15
Reslice of 0,41,10
Reslice of 0,42,21
Reslice of 0,43,16
Reslice of 0,44,18
Reslice of 0,45,17
Reslice of 0,46,11
Reslice of 0,47,10
Reslice of 0,48,13
Reslice of 0,49,17
Reslice of 0,50,18
Reslice of 0,51,12
Reslice of 0,52,8
Reslice of 0,53,12
Reslice of 0,54,10
Reslice of 0,55,7
Reslice of 0,56,11
Reslice of 0,57,9
Reslice of 0,58,7
Reslice of 0,59,19
Reslice of 0,60,15
Reslice of 0,61,10
Reslice of 0,62,11
Reslice of 0,63,17
Reslice of 0,64,14
Reslice of 0,65,8
Reslice of 0,66,13
Reslice of 0,67,12
Reslice of 0,68,15
Reslice of 0,69,19
Reslice of 0,70,15
Reslice of 0,71,21
Reslice of 0,72,16
Reslice of 0,73,7
Reslice of 0,74,24
Reslice of 0,75,18
Reslice of 0,76,19
Reslice of 0,77,27
Reslice of 0,78,20
Reslice of 0,79,16
Reslice of 0,80,24
Reslice of 0,81,17
Reslice of 0,82,25
Reslice of 0,83,17
Reslice of 0,84,14
Reslice of 0,85,22
Reslice of 0,86,19
Reslice of 0,87,14
Reslice of 0,88,12
Reslice of 0,89,8
Reslice of 0,90,15
Reslice of 0,91,22
Reslice of 0,92,20
Reslice of 0,93,25
Reslice of 0,94,22
Reslice of 0,95,32
Reslice of 0,96,19
Reslice of 0,97,11
Reslice of 0,98,16
Reslice of 0,99,25
Reslice of 1,0,15
Reslice of 1,1,17
Reslice of 1,2,19
Reslice of 1,3,24
Reslice of 1,4,18
Reslice of 1,5,17
Reslice of 1,6,33
Reslice of 1,7,17
Reslice of 1,8,24
Reslice of 1,9,15
Reslice of 1,10,19
Reslice of 1,11,21
Reslice of 1,12,16
Reslice of 1,13,28
Reslice of 1,14,31
Reslice of 1,15,22
Reslice of 1,16,18
Reslice of 1,17,11
Reslice of 1,18,5
Reslice of 1,19,23
Reslice of 1,20,16
Reslice of 1,21,19
Reslice of 1,22,30
Reslice of 1,23,28
Reslice of 1,24,19
Reslice of 1,25,23
Reslice of 1,26,20
Reslice of 1,27,22
Reslice of 1,28,15
Reslice of 1,29,21
Reslice of 1,30,34
Reslice of 1,31,21
Reslice of 1,32,23
Reslice of 1,33,27
Reslice of 1,34,23
Reslice of 1,35,21
Reslice of 1,36,18
Reslice of 1,37,13
Reslice of 1,38,16
Reslice of 1,39,19
Reslice of 1,40,25
Reslice of 1,41,20
Reslice of 1,42,25
Reslice of 1,43,27
Reslice of 1,44,20
Reslice of 1,45,15
Reslice of 1,46,9
Reslice of 1,47,14
Reslice of 1,48,6
Reslice of 1,49,11
Reslice of 1,50,16
Reslice of 1,51,29
Reslice of 1,52,32
Reslice of 1,53,29
Reslice of 1,54,10
Reslice of 1,55,11
Reslice of 1,56,8
Reslice of 1,57,4
Reslice of 1,58,8
Reslice of 1,59,11
Reslice of 1,60,13
Reslice of 1,61,13
Reslice of 1,62,9
Reslice of 1,63,17
Reslice of 1,64,15
Reslice of 1,65,14
Reslice of 1,66,25
Reslice of 1,67,18
Reslice of 1,68,21
Reslice of 1,69,20
