file,position,overlap_area
Reslice of 0,0,41.0
Reslice of 0,1,65.0
Reslice of 0,2,16146.0
Reslice of 0,3,8419.0
Reslice of 0,4,279.0
Reslice of 0,5,707.0
Reslice of 0,6,733.0
Reslice of 0,7,1849.0
Reslice of 0,8,1486.0
Reslice of 0,9,756.0
Reslice of 0,10,262.0
Reslice of 0,11,256.0
Reslice of 0,12,84.0
Reslice of 0,13,2123.0
Reslice of 0,14,961.0
Reslice of 0,15,376.0
Reslice of 0,16,3039.0
Reslice of 0,17,4607.0
Reslice of 0,18,7226.0
Reslice of 0,19,6547.0
Reslice of 0,20,4770.0
Reslice of 0,21,5445.0
Reslice of 0,22,3981.0
Reslice of 0,23,1082.0
Reslice of 0,24,323.0
Reslice of 0,25,20726.0
Reslice of 0,26,28756.0
Reslice of 0,27,26884.0
Reslice of 0,28,5927.0
Reslice of 0,29,3751.0
Reslice of 0,30,1730.0
Reslice of 0,31,1251.0
Reslice of 0,32,647.0
Reslice of 0,33,0.0
Reslice of 0,34,2423.0
Reslice of 0,35,677.0
Reslice of 0,36,1310.0
Reslice of 0,37,327.0
Reslice of 0,38,417.0
Reslice of 0,39,1415.0
Reslice of 0,40,1547.0
Reslice of 0,41,169.0
Reslice of 0,42,179.0
Reslice of 0,43,540.0
Reslice of 0,44,446.0
Reslice of 0,45,609.0
Reslice of 0,46,102.0
Reslice of 0,47,68.0
Reslice of 0,48,534.0
Reslice of 0,49,875.0
Reslice of 0,50,1732.0
Reslice of 0,51,361.0
Reslice of 0,52,175.0
Reslice of 0,53,1190.0
Reslice of 0,54,170.0
Reslice of 0,55,366.0
Reslice of 0,56,2565.0
Reslice of 0,57,3097.0
Reslice of 0,58,346.0
Reslice of 0,59,204.0
Reslice of 0,60,852.0
Reslice of 0,61,704.0
Reslice of 0,62,82.0
Reslice of 0,63,439.0
Reslice of 0,64,430.0
Reslice of 0,65,3464.0
Reslice of 0,66,2865.0
Reslice of 0,67,1318.0
Reslice of 0,68,153.0
Reslice of 0,69,8.0
Reslice of 0,70,379.0
Reslice of 0,71,3238.0
Reslice of 0,72,7617.0
Reslice of 0,73,8437.0
Reslice of 0,74,6022.0
Reslice of 0,75,4177.0
Reslice of 0,76,22.0
Reslice of 0,77,369.0
