file,position,overlap_area
Reslice of 0,0,3038.0
Reslice of 0,1,16667.0
Reslice of 0,2,93825.0
Reslice of 0,3,80909.0
Reslice of 0,4,7009.0
Reslice of 0,5,8290.0
Reslice of 0,6,6034.0
Reslice of 0,7,16277.0
Reslice of 0,8,8639.0
Reslice of 0,9,7838.0
Reslice of 0,10,4811.0
Reslice of 0,11,5684.0
Reslice of 0,12,1902.0
Reslice of 0,13,10163.0
Reslice of 0,14,5384.0
Reslice of 0,15,11598.0
Reslice of 0,16,23843.0
Reslice of 0,17,32741.0
Reslice of 0,18,46564.0
Reslice of 0,19,45414.0
Reslice of 0,20,36813.0
Reslice of 0,21,35283.0
Reslice of 0,22,29966.0
Reslice of 0,23,16260.0
Reslice of 0,24,6511.0
Reslice of 0,25,146744.0
Reslice of 0,26,204110.0
Reslice of 0,27,198518.0
Reslice of 0,28,71072.0
Reslice of 0,29,23623.0
Reslice of 0,30,8443.0
Reslice of 0,31,7703.0
Reslice of 0,32,6232.0
Reslice of 0,33,4076.0
Reslice of 0,34,17068.0
Reslice of 0,35,5711.0
Reslice of 0,36,8324.0
Reslice of 0,37,3033.0
Reslice of 0,38,5757.0
Reslice of 0,39,15110.0
Reslice of 0,40,14802.0
Reslice of 0,41,1852.0
Reslice of 0,42,3431.0
Reslice of 0,43,5858.0
Reslice of 0,44,3992.0
Reslice of 0,45,7883.0
Reslice of 0,46,5927.0
Reslice of 0,47,2505.0
Reslice of 0,48,3420.0
Reslice of 0,49,30582.0
Reslice of 0,50,51954.0
Reslice of 0,51,9926.0
Reslice of 0,52,4548.0
Reslice of 0,53,10491.0
Reslice of 0,54,4764.0
Reslice of 0,55,6302.0
Reslice of 0,56,22813.0
Reslice of 0,57,22067.0
Reslice of 0,58,8463.0
Reslice of 0,59,6208.0
Reslice of 0,60,5998.0
Reslice of 0,61,6986.0
Reslice of 0,62,2541.0
Reslice of 0,63,6909.0
Reslice of 0,64,8434.0
Reslice of 0,65,21654.0
Reslice of 0,66,17396.0
Reslice of 0,67,15307.0
Reslice of 0,68,2884.0
Reslice of 0,69,1298.0
Reslice of 0,70,3934.0
Reslice of 0,71,23150.0
Reslice of 0,72,50892.0
Reslice of 0,73,58220.0
Reslice of 0,74,44584.0
Reslice of 0,75,26061.0
Reslice of 0,76,4127.0
Reslice of 0,77,4624.0
Reslice of 0,78,1791.0
Reslice of 0,79,2264.0
Reslice of 0,80,4108.0
Reslice of 0,81,7910.0
Reslice of 0,82,26422.0
Reslice of 0,83,15334.0
Reslice of 0,84,3501.0
Reslice of 0,85,2611.0
Reslice of 0,86,978.0
Reslice of 0,87,2514.0
Reslice of 0,88,2291.0
Reslice of 0,89,3085.0
Reslice of 0,90,3761.0
Reslice of 0,91,3066.0
Reslice of 0,92,4950.0
Reslice of 0,93,3326.0
Reslice of 0,94,4130.0
Reslice of 0,95,6815.0
Reslice of 0,96,5029.0
Reslice of 0,97,21876.0
Reslice of 0,98,57062.0
Reslice of 0,99,39984.0
Reslice of 1,0,1863.0
Reslice of 1,1,5608.0
Reslice of 1,2,11315.0
Reslice of 1,3,5770.0
Reslice of 1,4,2191.0
Reslice of 1,5,972.0
Reslice of 1,6,21439.0
Reslice of 1,7,14260.0
Reslice of 1,8,7925.0
Reslice of 1,9,9493.0
Reslice of 1,10,1363.0
Reslice of 1,11,1544.0
Reslice of 1,12,2932.0
Reslice of 1,13,4093.0
Reslice of 1,14,4947.0
Reslice of 1,15,2805.0
Reslice of 1,16,10124.0
Reslice of 1,17,17434.0
Reslice of 1,18,30696.0
Reslice of 1,19,137058.0
Reslice of 1,20,8567.0
Reslice of 1,21,2476.0
Reslice of 1,22,1192.0
Reslice of 1,23,2328.0
Reslice of 1,24,3602.0
Reslice of 1,25,15012.0
Reslice of 1,26,16768.0
Reslice of 1,27,4670.0
Reslice of 1,28,3126.0
Reslice of 1,29,16422.0
Reslice of 1,30,23608.0
Reslice of 1,31,328.0
Reslice of 1,32,966.0
Reslice of 1,33,24643.0
Reslice of 1,34,51934.0
Reslice of 1,35,58728.0
Reslice of 1,36,33283.0
Reslice of 1,37,30159.0
Reslice of 1,38,3497.0
Reslice of 1,39,8010.0
Reslice of 1,40,528.0
Reslice of 1,41,2079.0
Reslice of 1,42,2537.0
Reslice of 1,43,6897.0
Reslice of 1,44,9659.0
Reslice of 1,45,749.0
Reslice of 1,46,176608.0
Reslice of 1,47,257491.0
Reslice of 1,48,261668.0
Reslice of 1,49,100248.0
Reslice of 1,50,58780.0
Reslice of 1,51,44021.0
Reslice of 1,52,26715.0
Reslice of 1,53,3600.0
Reslice of 1,54,2643.0
Reslice of 1,55,12916.0
Reslice of 1,56,61814.0
Reslice of 1,57,30753.0
Reslice of 1,58,30570.0
Reslice of 1,59,36113.0
Reslice of 1,60,27331.0
Reslice of 1,61,5627.0
Reslice of 1,62,1597.0
Reslice of 1,63,7024.0
Reslice of 1,64,2426.0
Reslice of 1,65,3537.0
Reslice of 1,66,2545.0
Reslice of 1,67,5964.0
Reslice of 1,68,4277.0
Reslice of 1,69,7145.0
Reslice of 1,70,11141.0
Reslice of 1,71,3346.0
Reslice of 1,72,3194.0
Reslice of 1,73,9543.0
Reslice of 1,74,100545.0
Reslice of 1,75,21359.0
Reslice of 1,76,4002.0
Reslice of 1,77,4164.0
Reslice of 1,78,3834.0
Reslice of 1,79,14445.0
Reslice of 1,80,12729.0
Reslice of 1,81,7399.0
Reslice of 1,82,17462.0
Reslice of 1,83,16776.0
Reslice of 1,84,16285.0
Reslice of 1,85,9815.0
Reslice of 1,86,2637.0
Reslice of 1,87,17258.0
Reslice of 1,88,10132.0
Reslice of 1,89,2329.0
Reslice of 1,90,8972.0
Reslice of 1,91,5815.0
Reslice of 1,92,4934.0
Reslice of 1,93,5940.0
Reslice of 1,94,5028.0
Reslice of 1,95,7821.0
Reslice of 1,96,6103.0
Reslice of 1,97,8683.0
Reslice of 1,98,10379.0
